id,counts,density,name,acronym
0,0,0,b'background',b'background',b'background',b'background',b'background',b'background',b'background',b'background',b'background'
1,0,0,b'Basic cell groups and regions',b'grey',b'grey',b'grey',b'grey',b'grey',b'grey',b'grey',b'grey'
2,0,0,b'Cerebrum',b'CH',b'CH',b'CH',b'CH',b'CH',b'CH',b'CH',b'CH'
3,0,0,b'Cerebral cortex',b'CTX',b'CTX',b'CTX',b'CTX',b'CTX',b'CTX',b'CTX',b'CH'
4,0,0,b'Cortical plate',b'CTXpl',b'CTXpl',b'CTXpl',b'CTXpl',b'CTXpl',b'CTXpl',b'CTX',b'CH'
5,0,0,b'Isocortex',b'Isocortex',b'Isocortex',b'Isocortex',b'Isocortex',b'Isocortex',b'CTXpl',b'CTX',b'CH'
6,0,0,"b'Frontal pole, cerebral cortex'",b'FRP',b'FRP',b'FRP',b'FRP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
7,0,0,"b'Frontal pole, layer 1'",b'FRP1',b'FRP1',b'FRP1',b'FRP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
8,0,0,"b'Frontal pole, layer 2/3'",b'FRP2/3',b'FRP2/3',b'FRP2/3',b'FRP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
9,0,0,"b'Frontal pole, layer 5'",b'FRP5',b'FRP5',b'FRP5',b'FRP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
10,0,0,"b'Frontal pole, layer 6a'",b'FRP6a',b'FRP6a',b'FRP6a',b'FRP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
11,0,0,"b'Frontal pole, layer 6b'",b'FRP6b',b'FRP6b',b'FRP6b',b'FRP',b'Isocortex',b'CTXpl',b'CTX',b'CH'
12,0,0,b'Somatomotor areas',b'MO',b'MO',b'MO',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
13,0,0,"b'Somatomotor areas, Layer 1'",b'MO1',b'MO1',b'MO1',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
14,0,0,"b'Somatomotor areas, Layer 2/3'",b'MO2/3',b'MO2/3',b'MO2/3',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
15,0,0,"b'Somatomotor areas, Layer 5'",b'MO5',b'MO5',b'MO5',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
16,0,0,"b'Somatomotor areas, Layer 6a'",b'MO6a',b'MO6a',b'MO6a',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
17,0,0,"b'Somatomotor areas, Layer 6b'",b'MO6b',b'MO6b',b'MO6b',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
18,0,0,b'Primary motor area',b'MOp',b'MOp',b'MOp',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
19,0,0,"b'Primary motor area, Layer 1'",b'MOp1',b'MOp1',b'MOp',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
20,0,0,"b'Primary motor area, Layer 2/3'",b'MOp2/3',b'MOp2/3',b'MOp',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
21,0,0,"b'Primary motor area, Layer 5'",b'MOp5',b'MOp5',b'MOp',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
22,0,0,"b'Primary motor area, Layer 6a'",b'MOp6a',b'MOp6a',b'MOp',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
23,0,0,"b'Primary motor area, Layer 6b'",b'MOp6b',b'MOp6b',b'MOp',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
24,0,0,b'Secondary motor area',b'MOs',b'MOs',b'MOs',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
25,0,0,"b'Secondary motor area, layer 1'",b'MOs1',b'MOs1',b'MOs',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
26,0,0,"b'Secondary motor area, layer 2/3'",b'MOs2/3',b'MOs2/3',b'MOs',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
27,0,0,"b'Secondary motor area, layer 5'",b'MOs5',b'MOs5',b'MOs',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
28,0,0,"b'Secondary motor area, layer 6a'",b'MOs6a',b'MOs6a',b'MOs',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
29,0,0,"b'Secondary motor area, layer 6b'",b'MOs6b',b'MOs6b',b'MOs',b'MO',b'Isocortex',b'CTXpl',b'CTX',b'CH'
30,0,0,b'Somatosensory areas',b'SS',b'SS',b'SS',b'SS',b'Isocortex',b'CTXpl',b'CTX',b'CH'
